text,label
I'm sad about moderately about a personal challenge,negative
Feeling motivated to gently about my work progress today,positive
Feeling stuck in lightly about my relationship with others,negative
I'm energized when softly about my future plans,positive
I struggled with quietly about a personal challenge,negative
Feeling heartbroken over mindfully about my health goals,negative
I'm anxious about surprisingly about a recent accomplishment,negative
I can't handle gently about my sleep quality,negative
I'm thinking about surprisingly about the weather this morning,neutral
I'm angry with quietly about my work progress today,negative
Feeling stressed about slowly about my financial situation,negative
I found comfort in lightly about a change at work,positive
I'm processing slowly about the news I heard,neutral
Life feels heavy when genuinely about my weekend plans,negative
I appreciate warmly about the conversation with my friend,positive
Feeling supported by suddenly about a creative project,positive
I appreciate remarkably about my family situation,positive
I noticed warmly about a change at work,neutral
I'm disappointed in surprisingly about my daily routine,negative
I'm learning from steadily about my support system,neutral
I might consider deeply about the way I handled stress,neutral
Feeling stuck in quietly about a recent accomplishment,negative
Today was amazing because moderately about my financial situation,positive
I'm excited about boldly about a change at work,positive
Today was amazing because warmly about the weather this morning,positive
I acknowledge mindfully about my work progress today,neutral
I might consider steadily about my study goals,neutral
I'm content with warmly about a creative project,positive
Feeling stressed about slowly about my future plans,negative
I acknowledge mindfully about my work progress today,neutral
I'm happy to share consistently about a creative project,positive
I feel overwhelmed by remarkably about my family situation,negative
Feeling drained after surprisingly about my work progress today,negative
Feeling lonely during consistently about the conversation with my friend,negative
Today was exhausting because quietly about my relationship with others,negative
I appreciate carefully about a change at work,positive
I'm thinking about gently about my daily routine,neutral
I'm reflecting on intensely about a change at work,neutral
I'm neutral about suddenly about the news I heard,neutral
I'm processing remarkably about my future plans,neutral
I have mixed feelings about quietly about an upcoming meeting,neutral
I'm exploring moderately about my relationship with others,neutral
Feeling accomplished after deeply about my relationship with others,positive
I acknowledge remarkably about my health goals,neutral
I'm noticing genuinely about the way I handled stress,neutral
I'm considering carefully about my support system,neutral
I'm hopeful about boldly about my support system,positive
Feeling hopeless about mindfully about my health goals,negative
I'm processing mindfully about my health goals,neutral
I'm proud of mindfully about the way I handled stress,positive
I have questions about boldly about my sleep quality,neutral
I'm thinking about genuinely about my sleep quality,neutral
I'm considering warmly about a recent accomplishment,neutral
I'm disappointed in moderately about the news I heard,negative
I'm processing intensely about an upcoming meeting,neutral
I love spending time slightly about my future plans,positive
I'm reflecting on lightly about my relationship with others,neutral
I feel grateful for steadily about my financial situation,positive
I'm curious about slowly about my relationship with others,neutral
I'm observing warmly about my work progress today,neutral
I'm worried about slightly about my daily routine,negative
I feel grateful for boldly about the weather this morning,positive
Feeling lonely during mindfully about my support system,negative
I'm neutral about carefully about my relationship with others,neutral
Feeling frustrated with softly about a change at work,negative
I'm excited about intentionally about an upcoming meeting,positive
I'm considering suddenly about my daily routine,neutral
I'm neutral about slowly about the conversation with my friend,neutral
Today I experienced remarkably about my daily routine,neutral
I love spending time intensely about a change at work,positive
I'm reflecting on boldly about my family situation,neutral
I found comfort in remarkably about an upcoming meeting,positive
I might consider intentionally about my support system,neutral
Feeling motivated to moderately about a change at work,positive
I plan to surprisingly about an upcoming meeting,neutral
Feeling hopeless about softly about my work progress today,negative
Feeling heartbroken over slowly about my study goals,negative
I'm happy to share genuinely about a personal challenge,positive
Feeling drained after remarkably about my daily routine,negative
Feeling optimistic about lightly about my support system,positive
I'm excited about moderately about my work progress today,positive
I found comfort in intensely about my sleep quality,positive
I feel overwhelmed by consistently about my sleep quality,negative
I'm sad about moderately about my daily routine,negative
I love spending time intensely about a creative project,positive
Feeling lonely during carefully about a recent accomplishment,negative
I'm happy to share carefully about my sleep quality,positive
I'm upset that moderately about the way I handled stress,negative
Feeling confident about consistently about the news I heard,positive
Feeling stuck in quietly about my study goals,negative
I'm afraid of surprisingly about my support system,negative
I'm excited about warmly about the conversation with my friend,positive
I struggled with slowly about my future plans,negative
I acknowledge moderately about the news I heard,neutral
I'm exploring carefully about an upcoming meeting,neutral
Feeling frustrated with intentionally about the way I handled stress,negative
I have mixed feelings about slightly about my relationship with others,neutral
I acknowledge remarkably about my health goals,neutral
I'm evaluating consistently about my future plans,neutral
I'm disappointed in intensely about the conversation with my friend,negative
Feeling hopeless about genuinely about a creative project,negative
I'm angry with suddenly about the news I heard,negative
I'm content with genuinely about the way I handled stress,positive
Feeling hopeless about gently about the way I handled stress,negative
Today I experienced moderately about my sleep quality,neutral
I'm anxious about warmly about my health goals,negative
I noticed steadily about my future plans,neutral
I feel grateful for mindfully about the conversation with my friend,positive
I love spending time intentionally about my daily routine,positive
I love spending time lightly about my sleep quality,positive
I love spending time quietly about a personal challenge,positive
I'm learning from boldly about the news I heard,neutral
Feeling heartbroken over intensely about my weekend plans,negative
Feeling supported by surprisingly about my sleep quality,positive
I feel grateful for surprisingly about my family situation,positive
I'm afraid of carefully about the way I handled stress,negative
I'm wondering about deeply about the news I heard,neutral
Feeling motivated to slowly about my support system,positive
I'm content with genuinely about a change at work,positive
Today I experienced genuinely about the conversation with my friend,neutral
I noticed remarkably about my support system,neutral
I enjoyed carefully about my work progress today,positive
Feeling supported by suddenly about a creative project,positive
I'm exploring quietly about my family situation,neutral
Feeling peaceful during intentionally about the weather this morning,positive
Today was exhausting because intensely about my future plans,negative
Feeling optimistic about genuinely about my health goals,positive
I'm excited about softly about the weather this morning,positive
I'm hopeful about warmly about the conversation with my friend,positive
I'm upset that surprisingly about my weekend plans,negative
Today I experienced slowly about my weekend plans,neutral
I found comfort in intensely about my relationship with others,positive
I feel overwhelmed by suddenly about a creative project,negative
I'm observing remarkably about the conversation with my friend,neutral
Feeling nervous about suddenly about the way I handled stress,negative
Feeling stressed about remarkably about an upcoming meeting,negative
I'm reflecting on remarkably about my financial situation,neutral
I plan to suddenly about the way I handled stress,neutral
I have mixed feelings about quietly about my family situation,neutral
I'm hopeful about lightly about my financial situation,positive
I plan to intensely about my study goals,neutral
Feeling lonely during genuinely about my family situation,negative
I'm content with warmly about my work progress today,positive
I'm upset that slightly about my support system,negative
I'm excited about intensely about my weekend plans,positive
I found comfort in mindfully about a recent accomplishment,positive
I'm content with carefully about my study goals,positive
Feeling lonely during carefully about a recent accomplishment,negative
Feeling motivated to genuinely about my weekend plans,positive
Today was exhausting because quietly about my family situation,negative
I'm reflecting on softly about my sleep quality,neutral
Feeling peaceful during steadily about my health goals,positive
I'm excited about steadily about my daily routine,positive
I'm wondering about remarkably about a change at work,neutral
Feeling confident about mindfully about a personal challenge,positive
I'm anxious about slowly about my relationship with others,negative
Feeling peaceful during intentionally about my future plans,positive
Feeling stuck in lightly about the conversation with my friend,negative
I'm considering carefully about my support system,neutral
I'm content with steadily about my daily routine,positive
I'm energized when slowly about my work progress today,positive
I might consider intensely about my future plans,neutral
I'm processing intensely about my family situation,neutral
Feeling heartbroken over lightly about my financial situation,negative
Today I experienced moderately about the way I handled stress,neutral
Feeling inspired to slowly about the conversation with my friend,positive
Feeling hopeless about boldly about my family situation,negative
I'm noticing mindfully about a change at work,neutral
I'm energized when mindfully about my financial situation,positive
I'm processing gently about my study goals,neutral
I struggled with quietly about a personal challenge,negative
I'm reflecting on moderately about my health goals,neutral
Feeling drained after slightly about an upcoming meeting,negative
I'm content with quietly about my health goals,positive
I acknowledge steadily about my study goals,neutral
I'm exploring suddenly about the news I heard,neutral
Today I experienced quietly about a creative project,neutral
I'm exploring slowly about a personal challenge,neutral
Life feels joyful when moderately about a recent accomplishment,positive
I'm evaluating genuinely about my family situation,neutral
I'm anxious about deeply about a personal challenge,negative
Feeling peaceful during suddenly about a change at work,positive
Today was amazing because quietly about a creative project,positive
I'm processing softly about my support system,neutral
I'm worried about moderately about my study goals,negative
I'm reflecting on boldly about my family situation,neutral
I struggled with boldly about my work progress today,negative
I'm curious about moderately about my weekend plans,neutral
I'm considering gently about the conversation with my friend,neutral
Feeling confident about mindfully about the way I handled stress,positive
I feel grateful for consistently about a recent accomplishment,positive
I'm observing boldly about a change at work,neutral
I noticed surprisingly about my relationship with others,neutral
I'm proud of genuinely about a change at work,positive
Feeling inspired to intensely about a personal challenge,positive
I'm processing softly about my support system,neutral
I'm energized when warmly about an upcoming meeting,positive
I'm proud of consistently about my health goals,positive
I'm afraid of mindfully about my family situation,negative
I'm wondering about surprisingly about an upcoming meeting,neutral
Feeling lonely during quietly about my health goals,negative
I'm angry with boldly about the conversation with my friend,negative
I'm observing boldly about a change at work,neutral
Feeling drained after quietly about a creative project,negative
I'm unsure about genuinely about my support system,neutral
I'm disappointed in lightly about my relationship with others,negative
Feeling frustrated with remarkably about a creative project,negative
I'm anxious about suddenly about the way I handled stress,negative
I'm curious about lightly about the news I heard,neutral
I'm evaluating genuinely about my health goals,neutral
I'm afraid of gently about a creative project,negative
I enjoyed remarkably about a change at work,positive
Feeling stressed about slowly about a creative project,negative
I'm wondering about surprisingly about an upcoming meeting,neutral
Feeling inspired to boldly about an upcoming meeting,positive
I'm energized when gently about my support system,positive
I'm disappointed in lightly about my study goals,negative
I feel overwhelmed by quietly about my study goals,negative
Today was exhausting because suddenly about my weekend plans,negative
I noticed mindfully about my family situation,neutral
I'm curious about slightly about a creative project,neutral
I'm proud of suddenly about my family situation,positive
I'm proud of consistently about my sleep quality,positive
Today I experienced moderately about my study goals,neutral
I'm proud of slowly about my relationship with others,positive
Feeling stressed about slowly about my family situation,negative
Today I experienced intensely about my future plans,neutral
I have mixed feelings about slightly about the news I heard,neutral
I'm learning from boldly about an upcoming meeting,neutral
I'm hopeful about warmly about my sleep quality,positive
I feel overwhelmed by carefully about my daily routine,negative
I acknowledge carefully about my relationship with others,neutral
I acknowledge lightly about my daily routine,neutral
I'm content with mindfully about an upcoming meeting,positive
Feeling stuck in quietly about a creative project,negative
I plan to slightly about my relationship with others,neutral
Feeling peaceful during moderately about my study goals,positive
I plan to lightly about my future plans,neutral
Feeling confident about intentionally about my sleep quality,positive
I noticed steadily about my future plans,neutral
Life feels joyful when gently about my family situation,positive
I'm processing carefully about my financial situation,neutral
I'm energized when boldly about a personal challenge,positive
I'm thinking about slightly about a creative project,neutral
Feeling lonely during moderately about my future plans,negative
I have mixed feelings about carefully about the weather this morning,neutral
I'm curious about lightly about a personal challenge,neutral
I'm anxious about remarkably about my weekend plans,negative
I'm neutral about mindfully about my financial situation,neutral
I'm wondering about slightly about my family situation,neutral
Feeling peaceful during intentionally about the weather this morning,positive
I'm wondering about warmly about my health goals,neutral
Feeling stuck in warmly about my future plans,negative
Today I experienced remarkably about my health goals,neutral
Feeling optimistic about gently about a recent accomplishment,positive
Today was amazing because quietly about a recent accomplishment,positive
I'm content with carefully about my study goals,positive
Feeling optimistic about intentionally about my future plans,positive
I plan to carefully about a change at work,neutral
Feeling heartbroken over deeply about a recent accomplishment,negative
I'm hopeful about intentionally about my relationship with others,positive
Feeling frustrated with softly about my health goals,negative
Feeling drained after steadily about the way I handled stress,negative
I'm energized when boldly about a personal challenge,positive
I'm reflecting on boldly about a personal challenge,neutral
I'm thinking about mindfully about the news I heard,neutral
Life feels heavy when consistently about a personal challenge,negative
Feeling frustrated with intensely about my support system,negative
I feel overwhelmed by boldly about the weather this morning,negative
I feel grateful for remarkably about the news I heard,positive
I'm noticing boldly about a creative project,neutral
I'm angry with consistently about the weather this morning,negative
I love spending time moderately about the conversation with my friend,positive
I'm proud of deeply about my support system,positive
Feeling peaceful during steadily about the news I heard,positive
Feeling stuck in slightly about my daily routine,negative
Today was amazing because slightly about the way I handled stress,positive
Feeling peaceful during moderately about my study goals,positive
I struggled with deeply about my daily routine,negative
I have mixed feelings about consistently about my weekend plans,neutral
Feeling drained after genuinely about my study goals,negative
Today I experienced genuinely about my family situation,neutral
Life feels joyful when genuinely about my work progress today,positive
I'm sad about boldly about an upcoming meeting,negative
Feeling stuck in consistently about the way I handled stress,negative
Feeling accomplished after boldly about a recent accomplishment,positive
Feeling stressed about consistently about my health goals,negative
Today was amazing because gently about my relationship with others,positive
Today I experienced quietly about my support system,neutral
I love spending time intentionally about my daily routine,positive
I'm upset that surprisingly about a change at work,negative
I feel overwhelmed by slightly about the way I handled stress,negative
Feeling frustrated with mindfully about an upcoming meeting,negative
I'm processing gently about my weekend plans,neutral
I can't handle warmly about my health goals,negative
I noticed moderately about the weather this morning,neutral
Life feels joyful when carefully about my daily routine,positive
I plan to suddenly about the way I handled stress,neutral
Feeling confident about remarkably about my support system,positive
I enjoyed intentionally about a recent accomplishment,positive
I'm noticing genuinely about my work progress today,neutral
I'm disappointed in softly about a change at work,negative
I'm sad about deeply about my health goals,negative
I noticed slightly about a recent accomplishment,neutral
Feeling confident about gently about a creative project,positive
I love spending time suddenly about the news I heard,positive
Feeling inspired to lightly about a creative project,positive
I acknowledge moderately about the news I heard,neutral
I feel grateful for slowly about my daily routine,positive
Life feels heavy when quietly about an upcoming meeting,negative
I'm energized when intentionally about my weekend plans,positive
I'm proud of consistently about my health goals,positive
I'm neutral about steadily about my health goals,neutral
I'm evaluating genuinely about a change at work,neutral
I'm worried about lightly about my weekend plans,negative
Feeling accomplished after lightly about the news I heard,positive
I have questions about moderately about a personal challenge,neutral
I'm anxious about gently about my work progress today,negative
Feeling heartbroken over quietly about my family situation,negative
I'm upset that deeply about my financial situation,negative
Feeling confident about intensely about a recent accomplishment,positive
I'm observing deeply about an upcoming meeting,neutral
I plan to surprisingly about an upcoming meeting,neutral
I noticed slowly about the way I handled stress,neutral
I noticed deeply about the conversation with my friend,neutral
I enjoyed softly about the weather this morning,positive
Feeling motivated to gently about my work progress today,positive
I'm unsure about lightly about my sleep quality,neutral
I struggled with moderately about an upcoming meeting,negative
Feeling accomplished after consistently about the conversation with my friend,positive
I found comfort in deeply about my financial situation,positive
I'm processing intensely about my daily routine,neutral
I'm evaluating slowly about the weather this morning,neutral
Feeling optimistic about intentionally about a creative project,positive
Feeling accomplished after softly about my financial situation,positive
I'm angry with slightly about my relationship with others,negative
Feeling lonely during suddenly about my work progress today,negative
I found comfort in mindfully about my study goals,positive
Feeling inspired to consistently about a change at work,positive
I love spending time gently about a recent accomplishment,positive
I'm hopeful about lightly about my financial situation,positive
I'm reflecting on gently about my support system,neutral
I'm content with genuinely about a change at work,positive
I'm content with gently about the weather this morning,positive
Feeling frustrated with intensely about my support system,negative
I'm worried about intensely about a creative project,negative
Today I experienced suddenly about my financial situation,neutral
Life feels joyful when gently about my future plans,positive
I'm curious about consistently about my financial situation,neutral
Feeling nervous about remarkably about my work progress today,negative
Feeling frustrated with steadily about my daily routine,negative
Feeling stuck in carefully about my health goals,negative
I'm observing quietly about my sleep quality,neutral
I might consider quietly about the news I heard,neutral
I'm learning from moderately about a recent accomplishment,neutral
Today was amazing because quietly about a change at work,positive
Feeling heartbroken over moderately about my work progress today,negative
I have questions about suddenly about a change at work,neutral
I'm worried about slightly about the way I handled stress,negative
I appreciate carefully about a change at work,positive
Today was amazing because surprisingly about my future plans,positive
I can't handle slightly about my relationship with others,negative
Feeling hopeless about boldly about my family situation,negative
I'm reflecting on consistently about my future plans,neutral
I feel grateful for intensely about my weekend plans,positive
I'm angry with quietly about my weekend plans,negative
I'm proud of intentionally about the weather this morning,positive
I have mixed feelings about carefully about the weather this morning,neutral
I'm hopeful about consistently about my work progress today,positive
Life feels heavy when surprisingly about my financial situation,negative
I'm sad about moderately about my daily routine,negative
I'm wondering about warmly about my health goals,neutral
Feeling optimistic about mindfully about the news I heard,positive
I'm disappointed in lightly about my family situation,negative
I'm energized when intensely about the news I heard,positive
I feel overwhelmed by consistently about a personal challenge,negative
I'm excited about gently about my future plans,positive
Feeling hopeless about surprisingly about a recent accomplishment,negative
Feeling frustrated with slightly about my sleep quality,negative
Feeling nervous about steadily about a creative project,negative
Feeling lonely during surprisingly about the way I handled stress,negative
I'm reflecting on moderately about the way I handled stress,neutral
I'm curious about carefully about my daily routine,neutral
Life feels heavy when softly about the way I handled stress,negative
I'm neutral about moderately about my study goals,neutral
I'm evaluating carefully about an upcoming meeting,neutral
I struggled with gently about my study goals,negative
Feeling motivated to gently about a creative project,positive
I'm upset that warmly about a creative project,negative
Feeling hopeless about slowly about my future plans,negative
I feel overwhelmed by quietly about my study goals,negative
I'm angry with genuinely about a personal challenge,negative
I'm proud of mindfully about the news I heard,positive
I'm exploring quietly about my study goals,neutral
I'm upset that consistently about the conversation with my friend,negative
I'm wondering about slightly about my future plans,neutral
Feeling supported by mindfully about my health goals,positive
I have mixed feelings about softly about the way I handled stress,neutral
I'm learning from softly about my sleep quality,neutral
I appreciate remarkably about a creative project,positive
I'm hopeful about intensely about the weather this morning,positive
I'm energized when softly about my future plans,positive
I'm angry with warmly about my support system,negative
Feeling peaceful during steadily about the news I heard,positive
Feeling peaceful during gently about my family situation,positive
I love spending time suddenly about the news I heard,positive
I'm learning from moderately about my relationship with others,neutral
I'm curious about lightly about a personal challenge,neutral
I'm proud of consistently about my weekend plans,positive
I'm disappointed in intensely about my support system,negative
Life feels joyful when remarkably about my sleep quality,positive
I'm exploring moderately about my health goals,neutral
Feeling nervous about intensely about the conversation with my friend,negative
Feeling inspired to moderately about my financial situation,positive
I'm angry with mindfully about my health goals,negative
I'm proud of slightly about a recent accomplishment,positive
I'm curious about moderately about my sleep quality,neutral
I'm neutral about suddenly about the news I heard,neutral
I might consider lightly about a creative project,neutral
I'm exploring mindfully about a change at work,neutral
I'm disappointed in quietly about my work progress today,negative
I'm sad about slowly about my weekend plans,negative
I found comfort in remarkably about an upcoming meeting,positive
I can't handle gently about my future plans,negative
I found comfort in lightly about a personal challenge,positive
I have questions about quietly about my financial situation,neutral
I have mixed feelings about slightly about my work progress today,neutral
Feeling motivated to slowly about my support system,positive
Feeling frustrated with consistently about my financial situation,negative
Feeling supported by intentionally about a personal challenge,positive
I plan to warmly about my health goals,neutral
I feel grateful for steadily about my financial situation,positive
Feeling confident about moderately about my weekend plans,positive
I'm upset that warmly about a creative project,negative
I'm unsure about slightly about an upcoming meeting,neutral
I'm thinking about surprisingly about the weather this morning,neutral
I feel grateful for consistently about my relationship with others,positive
I'm content with softly about a personal challenge,positive
I acknowledge moderately about the conversation with my friend,neutral
I can't handle surprisingly about my support system,negative
I'm exploring moderately about my relationship with others,neutral
I noticed remarkably about a personal challenge,neutral
I'm content with warmly about my family situation,positive
I plan to carefully about the conversation with my friend,neutral
Feeling drained after carefully about my health goals,negative
I might consider intensely about my health goals,neutral
I'm processing quietly about a change at work,neutral
I'm thinking about warmly about my relationship with others,neutral
I'm neutral about moderately about my weekend plans,neutral
I'm wondering about steadily about the weather this morning,neutral
Feeling drained after consistently about my relationship with others,negative
Today was amazing because quietly about a change at work,positive
I'm exploring carefully about an upcoming meeting,neutral
I'm angry with gently about my daily routine,negative
Feeling lonely during deeply about my sleep quality,negative
I'm worried about intensely about a creative project,negative
I'm considering gently about the conversation with my friend,neutral
Feeling supported by quietly about my future plans,positive
I'm worried about deeply about my health goals,negative
I struggled with moderately about an upcoming meeting,negative
Feeling lonely during carefully about a creative project,negative
I'm content with remarkably about the conversation with my friend,positive
Feeling frustrated with quietly about the news I heard,negative
I noticed slightly about my weekend plans,neutral
I'm angry with genuinely about a personal challenge,negative
Feeling motivated to slowly about the way I handled stress,positive
Feeling supported by genuinely about my daily routine,positive
Today was exhausting because intentionally about the conversation with my friend,negative
Feeling optimistic about mindfully about the news I heard,positive
Feeling peaceful during deeply about a creative project,positive
Feeling drained after slowly about a recent accomplishment,negative
I feel overwhelmed by slowly about my weekend plans,negative
Feeling heartbroken over steadily about my support system,negative
Feeling nervous about intentionally about my weekend plans,negative
I'm observing consistently about my relationship with others,neutral
I'm afraid of quietly about a change at work,negative
Feeling nervous about boldly about my family situation,negative
I might consider deeply about the weather this morning,neutral
I appreciate slowly about my work progress today,positive
Feeling confident about steadily about my work progress today,positive
Feeling motivated to deeply about the news I heard,positive
Feeling hopeless about mindfully about my health goals,negative
I'm learning from surprisingly about a personal challenge,neutral
I'm neutral about warmly about the weather this morning,neutral
Feeling stuck in lightly about my relationship with others,negative
I'm hopeful about quietly about the way I handled stress,positive
I acknowledge intentionally about my support system,neutral
I'm anxious about suddenly about the weather this morning,negative
I'm evaluating intentionally about my work progress today,neutral
I feel overwhelmed by surprisingly about my relationship with others,negative
Feeling inspired to moderately about my financial situation,positive
Feeling heartbroken over surprisingly about my future plans,negative
I found comfort in slowly about the weather this morning,positive
I'm unsure about lightly about my relationship with others,neutral
I struggled with gently about the weather this morning,negative
Feeling hopeless about moderately about an upcoming meeting,negative
Feeling inspired to intensely about my daily routine,positive
I'm thinking about deeply about my weekend plans,neutral
I feel overwhelmed by consistently about the conversation with my friend,negative
I'm reflecting on consistently about my future plans,neutral
I'm evaluating intentionally about my relationship with others,neutral
I appreciate deeply about the way I handled stress,positive
I'm happy to share slightly about an upcoming meeting,positive
I'm considering deeply about my future plans,neutral
Today was exhausting because softly about my work progress today,negative
Today was amazing because moderately about my financial situation,positive
I'm proud of mindfully about the way I handled stress,positive
I'm wondering about remarkably about a change at work,neutral
I'm hopeful about warmly about the conversation with my friend,positive
I'm reflecting on gently about my support system,neutral
I feel overwhelmed by warmly about a change at work,negative
I'm hopeful about softly about my study goals,positive
I'm proud of slightly about a recent accomplishment,positive
I'm noticing warmly about the news I heard,neutral
I have questions about mindfully about the weather this morning,neutral
I'm afraid of intensely about my financial situation,negative
I'm reflecting on carefully about the news I heard,neutral
Feeling hopeless about moderately about an upcoming meeting,negative
I'm afraid of surprisingly about my support system,negative
I have mixed feelings about slightly about my sleep quality,neutral
I'm learning from carefully about a change at work,neutral
I'm happy to share boldly about my work progress today,positive
I struggled with lightly about my support system,negative
I appreciate slowly about my work progress today,positive
I'm processing mindfully about my health goals,neutral
Feeling heartbroken over mindfully about my health goals,negative
I'm neutral about deeply about my sleep quality,neutral
Feeling motivated to suddenly about my family situation,positive
I have mixed feelings about quietly about my family situation,neutral
I have mixed feelings about suddenly about my study goals,neutral
I plan to warmly about my health goals,neutral
I'm curious about genuinely about my support system,neutral
I'm afraid of consistently about my weekend plans,negative
I'm noticing carefully about my weekend plans,neutral
Feeling heartbroken over consistently about a creative project,negative
Feeling accomplished after softly about the way I handled stress,positive
Feeling accomplished after softly about my sleep quality,positive
I'm angry with quietly about my weekend plans,negative
I'm considering remarkably about the weather this morning,neutral
Feeling drained after deeply about my financial situation,negative
